Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,2215167.000,0,2.723618,4.565231,0.1773834,-0.260376,0.9490662,0.3393402,-0.191864,0.9208832,
Calibration,2215250.000,0,3.77356,4.590622,0.2362061,-0.1802063,0.954834,0.2968445,-0.1353607,0.9452667,
Calibration,2215333.000,0,4.111633,4.609833,0.2781677,-0.1210175,0.9528656,0.2839508,-0.1528473,0.9465637,
Calibration,2215417.000,0,3.613617,4.601227,0.2142639,-0.1315765,0.967865,0.2891693,-0.1618958,0.9434814,
Calibration,2215500.000,0,4.163834,4.61824,0.2476654,-0.1149139,0.9619904,0.2675629,-0.1292877,0.9548187,
Calibration,2215583.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2215667.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2215750.000,0,4.367661,4.446777,-0.1771393,0.1146698,0.977478,-0.1043243,0.09181213,0.9902802,
Calibration,2215833.000,0,4.297226,4.511032,-0.1174011,0.09594727,0.9884338,-0.05761719,0.1134338,0.9918671,
Calibration,2215917.000,0,4.307587,4.580246,-0.1990662,0.1334534,0.9708405,-0.11763,0.1066589,0.9873047,
Calibration,2216000.000,0,4.464111,3.841736,-0.388504,0.1748199,0.9046936,-0.2714386,0.04704285,0.9612885,
Calibration,2216083.000,0,4.480225,4.425003,-0.3088379,0.1392822,0.9408417,-0.1801147,0.07572937,0.9807129,
Calibration,2216166.000,0,4.282883,4.714417,-0.1907349,0.1353149,0.9722595,-0.1136932,0.0987854,0.9885864,
Calibration,2216250.000,0,4.261383,4.514389,-0.2723541,0.2086487,0.9392853,-0.1917877,0.1544952,0.9691925,
Calibration,2216333.000,0,4.158951,4.303528,-0.2121277,0.1862946,0.9593048,-0.1174927,0.1428375,0.9827423,
Calibration,2216416.000,0,4.104553,4.41214,-0.1688538,0.2232208,0.960022,-0.0954895,0.1991272,0.975296,
Calibration,2216500.000,0,3.923904,4.109772,-0.1381531,0.2631226,0.9548035,-0.0750885,0.2301025,0.9702606,
Calibration,2216583.000,0,3.832611,4.013138,-0.1133575,0.2594299,0.9590759,-0.05427551,0.2266998,0.9724426,
Calibration,2216666.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2216750.000,0,3.968979,4.035324,-0.1035309,0.2667847,0.9581604,-0.04193115,0.2364197,0.9707336,
Calibration,2216833.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2216916.000,0,3.877899,3.902588,-0.06814575,0.001861572,0.9976654,0.004577637,-0.008773804,0.999939,
Calibration,2216999.000,0,2.559799,3.55246,0.01356506,-0.2631226,0.9646606,0.02882385,-0.1182709,0.9925537,
Calibration,2217083.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2217166.000,0,4.142792,4.447113,0.03579712,-0.1632996,0.9859161,0.1168365,-0.1719666,0.9781342,
Calibration,2217249.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2217333.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2217416.000,0,3.01326,3.948013,-0.03930664,-0.4178619,0.9076538,0.06002808,-0.2611847,0.9634094,
Calibration,2217499.000,0,-1,-1,0,0,0,0,0,0,
