Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,174839.000,0,-1,-1,0,0,0,0,0,0,
Calibration,174922.000,0,4.30455,3.929138,0.0630188,-0.04690552,0.9969025,0.08184814,-0.06600952,0.9944458,
Calibration,175006.000,0,4.411728,3.999985,0.0662384,-0.05821228,0.9960938,0.0912323,-0.03953552,0.9950409,
Calibration,175089.000,0,4.391342,3.92514,0.05593872,-0.05725098,0.9967804,0.08543396,-0.03971863,0.9955444,
Calibration,175172.000,0,4.403351,4.023102,0.05931091,-0.03977966,0.9974365,0.084198,-0.03187561,0.9959259,
Calibration,175256.000,0,-1,-1,0,0,0,0,0,0,
Calibration,175339.000,0,-1,-1,0,0,0,0,0,0,
Calibration,175422.000,0,-1,-1,0,0,0,0,0,0,
Calibration,175506.000,0,-1,-1,0,0,0,0,0,0,
Calibration,175589.000,0,-1,-1,0,0,0,0,0,0,
Calibration,175672.000,0,4.149719,3.948975,0.002563477,-0.09585571,0.9953766,0.04161072,-0.09584045,0.9945221,
Calibration,175756.000,0,4.233109,3.895859,0.007003784,-0.08694458,0.9961853,0.04185486,-0.08958435,0.9950867,
Calibration,175839.000,0,4.27005,3.897675,0.0003204346,-0.09538269,0.9954376,0.03981018,-0.09970093,0.9942169,
Calibration,175922.000,0,-1,-1,0,0,0,0,0,0,
Calibration,176006.000,0,-1,-1,0,0,0,0,0,0,
Calibration,176089.000,0,4.411102,4.063324,0.05432129,-0.08583069,0.994812,0.0710144,-0.08444214,0.9938812,
Calibration,176172.000,0,4.392715,4.105713,0.05995178,-0.08789063,0.9943085,0.07546997,-0.0763092,0.9942169,
Calibration,176255.000,0,4.46109,4.112091,0.05110168,-0.08460999,0.9950867,0.07513428,-0.0769043,0.9942017,
Calibration,176339.000,0,4.354919,4.074371,0.05635071,-0.07991028,0.9951935,0.08042908,-0.06838989,0.9944,
Calibration,176422.000,0,4.374039,4.076996,0.05360413,-0.07820129,0.9954834,0.07531738,-0.07032776,0.9946747,
Calibration,176505.000,0,4.40451,4.107056,0.05297852,-0.078125,0.9955292,0.0806427,-0.0713501,0.9941711,
Calibration,176589.000,0,4.415009,4.120361,0.05183411,-0.07270813,0.9960022,0.0763092,-0.0710907,0.9945374,
Calibration,176672.000,0,4.45253,4.193161,0.04730225,-0.06347656,0.9968567,0.08174133,-0.06921387,0.9942322,
Calibration,176755.000,0,-1,-1,0,0,0,0,0,0,
Calibration,176839.000,0,4.666458,4.171494,0.03610229,-0.01132202,0.9992828,0.06054688,-0.02761841,0.9977722,
Calibration,176922.000,0,4.61586,4.156403,0.01777649,-0.0246582,0.999527,0.05815125,-0.016922,0.9981537,
Calibration,177005.000,0,4.629318,4.203537,0.0158844,-0.01847839,0.9996948,0.05525208,-0.009811401,0.9984131,
Calibration,177089.000,0,4.634216,4.183746,0.01475525,-0.01657104,0.9997406,0.05665588,-0.00340271,0.9983826,
