Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,1324809.000,0,4.891739,5.148254,0.07666016,0.2962646,0.9520111,-0.014328,0.1737518,0.9846802,
Calibration,1324893.000,0,5.120499,5.186752,0.06994629,0.317688,0.9456024,-0.00138855,0.1650848,0.9862671,
Calibration,1324976.000,0,5.116638,5.211258,0.06309509,0.318634,0.9457703,0.001998901,0.1715088,0.9851685,
Calibration,1325059.000,0,5.1436,5.240341,0.06645203,0.3202362,0.9449921,0.002929688,0.1765289,0.9842834,
Calibration,1325143.000,0,5.009064,5.018417,0.04743958,0.2908783,0.9555664,-0.005752563,0.1228638,0.9924011,
Calibration,1325226.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1325309.000,0,5.036163,5.231247,0.164856,-0.2966766,0.9406281,-0.008468628,-0.3916016,0.9200897,
Calibration,1325393.000,0,5.131699,5.29306,0.1097412,0.01876831,0.9937744,0.02220154,-0.41362,0.9101715,
Calibration,1325476.000,0,6.149521,5.311935,0.2861786,-0.4346313,0.8539276,0.009017944,-0.6065063,0.7950134,
Calibration,1325559.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1325643.000,0,5.930847,-1,0.2121582,-0.5130005,0.8317413,0,0,0,
Calibration,1325726.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1325809.000,0,3.491699,4.160599,0.1369476,-0.07991028,0.9873352,0.001190186,-0.1614075,0.9868774,
Calibration,1325893.000,0,5.198685,5.272537,0.09375,0.246933,0.9644775,0.01031494,0.1226807,0.9923859,
Calibration,1325976.000,0,5.242111,5.2742,0.06060791,0.2519379,0.9658356,-0.02122498,0.1600189,0.9868774,
Calibration,1326059.000,0,5.223877,5.392776,0.05953979,0.2522583,0.9658203,-0.02275085,0.1537628,0.9878387,
Calibration,1326143.000,0,5.347565,5.011337,-0.08787537,0.2547913,0.9629822,-0.1543121,0.1182709,0.9809113,
Calibration,1326226.000,0,5.487411,5.436172,-0.2245331,0.2482452,0.9423065,-0.3264923,0.1724548,0.9293213,
Calibration,1326309.000,0,5.540695,5.416397,-0.2275543,0.2502441,0.9410553,-0.3247986,0.1649933,0.9312744,
Calibration,1326392.000,0,5.556717,5.427536,-0.2275848,0.2537079,0.9401093,-0.318985,0.1662903,0.9330444,
Calibration,1326476.000,0,5.544556,5.464294,-0.2297974,0.2546539,0.9393158,-0.3132477,0.1666412,0.9349213,
Calibration,1326559.000,0,5.571228,5.491089,-0.2285156,0.2580872,0.9386902,-0.3128357,0.1663055,0.9351196,
Calibration,1326642.000,0,5.431839,5.247574,-0.1124115,0.2220612,0.9685211,-0.1376343,0.07530212,0.9876099,
Calibration,1326726.000,0,5.437042,5.18782,-0.09629822,0.2199402,0.9707336,-0.1145782,0.06748962,0.9911041,
Calibration,1326809.000,0,5.442978,5.134232,-0.09675598,0.2169952,0.9713593,-0.110733,0.0561676,0.9922485,
Calibration,1326892.000,0,5.439651,5.142731,-0.09594727,0.218399,0.9711151,-0.1110535,0.05604553,0.992218,
Calibration,1326976.000,0,5.459,5.172104,-0.09616089,0.2182922,0.9711304,-0.1087646,0.05265808,0.9926605,
Calibration,1327059.000,0,5.476425,5.197891,-0.09286499,0.2231445,0.9703369,-0.1072998,0.04872131,0.9930267,
Calibration,1327142.000,0,5.517334,5.242538,-0.09295654,0.2223816,0.9705048,-0.1067047,0.04820251,0.9931183,
Calibration,1327226.000,0,5.531631,5.264832,-0.08944702,0.2250214,0.9702301,-0.1045837,0.0504303,0.9932251,
Calibration,1327309.000,0,5.604736,5.291565,-0.09399414,0.2325592,0.9680176,-0.09829712,0.05259705,0.9937592,
Calibration,1327392.000,0,5.565292,5.328323,-0.08677673,0.2329712,0.9685974,-0.09931946,0.05422974,0.9935608,
Calibration,1327476.000,0,5.595032,5.379944,-0.08460999,0.2299957,0.9694977,-0.1032867,0.05952454,0.9928589,
Calibration,1327559.000,0,5.641998,5.3909,-0.08457947,0.2287903,0.9697876,-0.108139,0.0528717,0.9927216,
Calibration,1327642.000,0,5.698257,5.584991,-0.1310272,0.2156219,0.9676361,-0.1815033,0.07173157,0.9807587,
Calibration,1327726.000,0,5.783142,5.431778,-0.1276245,0.2119598,0.9689026,-0.158371,0.05361938,0.9859161,
Calibration,1327809.000,0,5.77356,5.43277,-0.1199799,0.2133942,0.9695587,-0.1533966,0.04956055,0.986908,
Calibration,1327892.000,0,5.778229,5.471329,-0.1072388,0.2098083,0.9718323,-0.1320953,0.0458374,0.9901733,
Calibration,1327975.000,0,5.751968,5.509689,-0.09036255,0.2058868,0.9743805,-0.1115265,0.03787231,0.9930267,
Calibration,1328059.000,0,5.848419,5.559708,-0.08300781,0.2044373,0.9753418,-0.09635925,0.03862,0.9945831,
Calibration,1328142.000,0,6.217896,5.807098,-0.3446808,0.2135468,0.914093,-0.4421387,0.08035278,0.8933258,
Calibration,1328225.000,0,6.313202,5.960068,-0.3573608,0.2194977,0.9077911,-0.4451904,0.07853699,0.8919678,
Calibration,1328309.000,0,6.377319,5.880768,-0.3712616,0.2238464,0.9011383,-0.4511566,0.07847595,0.8889771,
Calibration,1328392.000,0,6.322159,5.905014,-0.376297,0.2266693,0.8983307,-0.4520569,0.08187866,0.8882141,
Calibration,1328475.000,0,6.330688,5.911041,-0.3616486,0.2462616,0.8991852,-0.4467468,0.07989502,0.8910675,
Calibration,1328559.000,0,6.356598,5.911484,-0.3772888,0.223175,0.8987885,-0.4414673,0.08311462,0.8934174,
Calibration,1328642.000,0,6.434677,5.939224,-0.3712158,0.226593,0.9004669,-0.4382172,0.08079529,0.8952179,
Calibration,1328725.000,0,6.116028,5.674347,-0.2830353,0.1139221,0.9523163,-0.3255463,-0.1180878,0.9381104,
Calibration,1328809.000,0,6.043655,5.771271,-0.271286,0.1015778,0.9571075,-0.3202972,-0.140213,0.9368744,
Calibration,1328892.000,0,6.104492,5.786301,-0.2745819,0.09698486,0.9566498,-0.3173065,-0.1459198,0.937027,
Calibration,1328975.000,0,6.101471,5.80806,-0.2758179,0.09823608,0.9561615,-0.3117523,-0.1434174,0.93927,
Calibration,1329059.000,0,6.151703,5.928314,-0.2187042,0.1824646,0.9585724,-0.3018188,-0.006591797,0.9533386,
Calibration,1329142.000,0,6.260651,6.027664,-0.2257996,0.1891479,0.9556274,-0.3070374,-0.01066589,0.9516296,
Calibration,1329225.000,0,6.096085,5.714935,-0.0922699,0.2214355,0.9707947,-0.1552429,0.007049561,0.9878387,
Calibration,1329309.000,0,5.942825,5.874695,0.09547424,0.1977539,0.9755859,0.0333252,0.03607178,0.9987793,
Calibration,1329392.000,0,6.053528,5.880722,0.09805298,0.2005615,0.9747467,0.02883911,0.03897095,0.9988098,
Calibration,1329475.000,0,5.969711,5.902374,0.08557129,0.1973267,0.976593,0.02468872,0.03582764,0.9990387,
Calibration,1329558.000,0,5.932938,5.854446,0.07925415,0.2041321,0.9757233,0.02073669,0.03465271,0.999176,
