Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,1155665.000,0,3.622009,3.676712,-0.1118774,-0.4143372,0.9032135,-0.03222656,-0.3827972,0.9232635,
Calibration,1155782.000,0,3.259369,3.449936,-0.05592346,-0.3662567,0.9288177,0.02072144,-0.3445892,0.9385071,
Calibration,1155898.000,0,3.023453,3.176163,-0.06243896,-0.3803253,0.9227295,0.0144043,-0.3497772,0.9367065,
Calibration,1156023.000,0,2.924438,3.03241,-0.04899597,-0.3835602,0.9222107,0.0196228,-0.3630066,0.9315643,
Calibration,1156123.000,0,2.963196,2.834427,-0.2063293,-0.3504028,0.9135742,-0.1711578,-0.3057861,0.9365845,
Calibration,1156240.000,0,3.209335,3.007416,-0.3274689,-0.2900238,0.899231,-0.3109741,-0.2819824,0.907608,
Calibration,1156356.000,0,3.186218,3.090759,-0.3404541,-0.249115,0.9066467,-0.3210449,-0.226944,0.9194641,
Calibration,1156448.000,0,3.287231,3.018784,-0.2562561,-0.2157135,0.942215,-0.2257996,-0.1869965,0.9560394,
Calibration,1156531.000,0,3.13797,3.15535,-0.1755371,-0.2013092,0.9636536,-0.1411285,-0.1777954,0.973877,
Calibration,1156615.000,0.002872969,3.345291,3.246216,-0.3237152,-0.2558899,0.9108734,-0.2986298,-0.2582092,0.9187622,
Calibration,1156698.000,0.002723092,3.48053,3.346115,-0.3137817,-0.2397614,0.9187164,-0.2686615,-0.2564545,0.9284515,
Calibration,1156781.000,0.002723092,3.484818,3.369247,-0.2975311,-0.2452698,0.9226532,-0.2613831,-0.2275543,0.9380188,
Calibration,1156865.000,0.002772044,3.764694,3.711044,-0.3262177,-0.2730408,0.9049835,-0.2829742,-0.2726288,0.9195557,
Calibration,1156948.000,0.002534717,3.791779,3.773743,-0.3526154,-0.2751617,0.8943939,-0.3058167,-0.2769318,0.9109192,
Calibration,1157031.000,0.002371303,3.897919,3.848862,-0.3921509,-0.2980347,0.8702698,-0.3505402,-0.2788086,0.8940735,
Calibration,1157114.000,0.002385596,4.03714,3.780228,-0.4339905,-0.2520142,0.8649445,-0.3960114,-0.2374115,0.8870087,
Calibration,1157198.000,0.002385596,4.069763,3.912216,-0.4393921,-0.2629242,0.8589478,-0.3930969,-0.232666,0.8895569,
Calibration,1157281.000,0.002505843,4.013611,4.022949,-0.4199066,-0.238739,0.8755951,-0.3965302,-0.2476501,0.8839722,
