Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,57097.000,0,4.596268,4.979279,-0.01626587,-0.08746338,0.9960327,0.02851868,-0.07252502,0.9969482,
Calibration,57180.000,0,4.598465,4.99028,-0.0174408,-0.08602905,0.9961243,0.02674866,-0.07199097,0.9970398,
Calibration,57263.000,0,4.621582,5.022766,-0.01831055,-0.08657837,0.9960632,0.02613831,-0.07328796,0.9969635,
Calibration,57346.000,0,4.647263,5.033661,-0.01972961,-0.08332825,0.9963226,0.02670288,-0.07339478,0.996933,
Calibration,57430.000,0,4.642288,5.06134,-0.02909851,-0.08435059,0.9960022,0.02566528,-0.06878662,0.9972992,
Calibration,57513.000,0,4.715759,5.084366,-0.02052307,-0.07795715,0.9967346,0.02566528,-0.06887817,0.9972839,
Calibration,57596.000,0,4.729462,5.107498,-0.02375793,-0.07489014,0.9969025,0.02322388,-0.06159973,0.997818,
Calibration,57680.000,0,4.772461,5.119476,-0.02474976,-0.06761169,0.9973907,0.02232361,-0.06681824,0.9975128,
Calibration,57763.000,0,4.824478,5.178162,-0.02554321,-0.06517029,0.9975433,0.02632141,-0.06037903,0.997818,
Calibration,57846.000,0,4.763641,5.215759,-0.005126953,-0.0980835,0.995163,0.06031799,-0.07597351,0.9952698,
Calibration,57930.000,0,4.741608,5.176773,-0.00567627,-0.105011,0.9944458,0.05848694,-0.08866882,0.994339,
Calibration,58013.000,0,4.743332,5.187256,-0.00869751,-0.1000977,0.9949341,0.05549622,-0.0859375,0.994751,
Calibration,58096.000,0,4.763412,5.200729,-0.01016235,-0.09272766,0.995636,0.05262756,-0.07888794,0.9954834,
Calibration,58180.000,0,4.866226,5.242432,0.005432129,-0.08329773,0.9965057,0.05200195,-0.07589722,0.9957428,
Calibration,58263.000,0,4.895676,5.228973,0.007537842,-0.1135712,0.9934998,0.06407166,-0.1335297,0.9889679,
Calibration,58346.000,0,4.857651,5.272049,0.001342773,-0.1204376,0.9927063,0.06192017,-0.1316376,0.9893494,
Calibration,58430.000,0,4.847809,5.269989,0.001205444,-0.1165466,0.9931793,0.05670166,-0.1309662,0.9897614,
Calibration,58513.000,0,4.830811,5.282852,0.0005645752,-0.1139069,0.9934845,0.05448914,-0.1280975,0.9902496,
Calibration,58596.000,0,4.833054,5.308853,0.0008392334,-0.1150055,0.9933624,0.054245,-0.1249237,0.9906769,
Calibration,58680.000,0,4.881577,5.349289,0.0009307861,-0.1134491,0.9935303,0.05528259,-0.125,0.9906006,
Calibration,58763.000,0,4.914032,5.320419,0.0009918213,-0.1099243,0.993927,0.05558777,-0.1177063,0.9914856,
Calibration,58846.000,0,4.95932,5.373993,-0.0008239746,-0.1116943,0.9937286,0.06924438,-0.1186523,0.990509,
Calibration,58929.000,0,4.967178,5.357681,0.00213623,-0.1113281,0.9937744,0.05552673,-0.1165466,0.9916229,
Calibration,59013.000,0,5.01976,5.447693,-0.001098633,-0.1054688,0.9944153,0.06918335,-0.1116028,0.991333,
Calibration,59096.000,0,5.13652,5.411362,0.0009307861,-0.1017151,0.9947968,0.03837585,-0.09359741,0.9948578,
Calibration,59179.000,0,5.106964,5.440628,-0.003952026,-0.1018982,0.9947815,0.03665161,-0.09402466,0.9948883,
Calibration,59263.000,0,5.08194,5.42215,-0.01783752,-0.09799194,0.9950256,0.03564453,-0.09190369,0.9951172,
Calibration,59346.000,0,5.089432,5.4263,-0.01042175,-0.09051514,0.9958344,0.03570557,-0.0884552,0.9954376,
Calibration,59429.000,0,5.123703,5.434021,-0.005874634,-0.08795166,0.9960938,0.0352478,-0.08323669,0.9958954,
Calibration,59513.000,0,5.146805,5.451294,-0.006332397,-0.08476257,0.9963684,0.03462219,-0.08110046,0.9960938,
Calibration,59596.000,0,5.14801,5.40448,-0.008590698,-0.08013916,0.9967346,0.03186035,-0.07475281,0.9966888,
Calibration,59679.000,0,5.170654,5.446228,-0.008636475,-0.07084656,0.9974365,0.03643799,-0.07341003,0.9966278,
Calibration,59763.000,0,5.176651,5.456024,-0.01005554,-0.06877136,0.9975739,0.03573608,-0.06861877,0.996994,
Calibration,59846.000,0,5.208069,5.570953,-0.005432129,-0.09129333,0.9958038,0.06677246,-0.06770325,0.9954529,
Calibration,59929.000,0,5.176056,5.554489,-0.00289917,-0.0914917,0.9957886,0.0687561,-0.07653809,0.9946899,
Calibration,60013.000,0,5.184174,5.548859,-0.004226685,-0.08811951,0.9960938,0.06887817,-0.07046509,0.9951172,
Calibration,60096.000,0,5.189133,5.56691,-0.008361816,-0.08761597,0.996109,0.06761169,-0.06594849,0.9955139,
Calibration,60179.000,0,5.19809,5.579468,-0.01113892,-0.08538818,0.9962769,0.06794739,-0.06460571,0.9955902,
Calibration,60263.000,0,5.206757,5.591599,-0.01397705,-0.08029175,0.9966583,0.06858826,-0.06216431,0.995697,
Calibration,60346.000,0,5.210068,5.598923,-0.01255798,-0.07652283,0.9969788,0.06819153,-0.05831909,0.9959564,
Calibration,60429.000,0,5.227493,5.602707,-0.007904053,-0.08067322,0.9967041,0.06613159,-0.05735779,0.9961548,
Calibration,60512.000,0,5.224411,5.639587,-0.008560181,-0.07637024,0.9970398,0.06744385,-0.05491638,0.9962006,
Calibration,60596.000,0,5.23259,5.648315,-0.006530762,-0.07543945,0.9971161,0.06872559,-0.05198669,0.9962769,
Calibration,60679.000,0,5.247116,5.66803,-0.008300781,-0.07333374,0.9972687,0.07038879,-0.04740906,0.9963837,
Calibration,60762.000,0,5.25798,5.688217,-0.008041382,-0.06509399,0.9978333,0.07089233,-0.04653931,0.9963837,
Calibration,60846.000,0,5.249222,5.714844,-0.007293701,-0.06300354,0.9979858,0.06759644,-0.04257202,0.9967957,
Calibration,60929.000,0,5.24144,5.712616,-0.00718689,-0.06263733,0.9980011,0.06562805,-0.04191589,0.9969482,
Calibration,61012.000,0,5.258347,5.668381,-0.008224487,-0.06054688,0.9981232,0.06425476,-0.03982544,0.9971313,
Calibration,61096.000,0,5.297165,5.710068,-0.004364014,-0.08470154,0.9963837,0.08894348,-0.05657959,0.9944153,
Calibration,61179.000,0,5.287125,5.729309,-0.003387451,-0.08157349,0.9966583,0.08189392,-0.04586792,0.995575,
Calibration,61262.000,0,5.283508,5.739563,-0.003692627,-0.07885742,0.9968719,0.08047485,-0.04246521,0.9958496,
Calibration,61346.000,0,5.283325,5.763382,-0.003692627,-0.07867432,0.9968872,0.07954407,-0.04377747,0.9958649,
Calibration,61429.000,0,5.323425,5.755203,-0.00112915,-0.07879639,0.9968872,0.07943726,-0.04450989,0.9958344,
Calibration,61512.000,0,-1,4.894196,0,0,0,0.0231781,-0.1498108,0.9884338,
Calibration,61596.000,0,-1,4.922424,0,0,0,0.02987671,-0.1273499,0.991394,
Calibration,61679.000,0,-1,-1,0,0,0,0,0,0,
Calibration,61762.000,0,-1,-1,0,0,0,0,0,0,
Calibration,61846.000,0,5.228668,5.603104,0.01065063,-0.0809021,0.9966583,0.06407166,-0.07020569,0.9954681,
Calibration,61929.000,0,5.34021,5.701874,0.01782227,-0.05413818,0.9983673,0.07124329,-0.03570557,0.9968109,
Calibration,62012.000,0,5.373932,5.877502,0.003738403,-0.05073547,0.998703,0.06767273,-0.03443909,0.9971008,
Calibration,62096.000,0,5.34697,5.823822,0.002243042,-0.05004883,0.9987335,0.06567383,-0.03414917,0.9972534,
Calibration,62179.000,0,5.449387,5.825272,0.03132629,-0.03039551,0.9990387,0.06547546,-0.03244019,0.9973145,
Calibration,62262.000,0,5.414017,5.828018,0.01489258,-0.03543091,0.9992523,0.06410217,-0.03234863,0.997406,
Calibration,62345.000,0,5.339844,5.848007,0.004226685,-0.04342651,0.9990387,0.06481934,-0.03187561,0.9973755,
Calibration,62429.000,0,5.35321,5.860825,0.002853394,-0.04110718,0.9991455,0.06384277,-0.03030396,0.9974976,
Calibration,62512.000,0,5.376572,5.848312,0.002426147,-0.03910828,0.9992218,0.06324768,-0.03022766,0.9975281,
Calibration,62595.000,0,5.340347,5.835373,0.003067017,-0.03948975,0.9992065,0.06332397,-0.03077698,0.9975128,
Calibration,62679.000,0,5.346497,5.834351,0.002883911,-0.04019165,0.999176,0.06314087,-0.02908325,0.9975739,
Calibration,62762.000,0,5.451782,5.848633,0.02366638,-0.02626038,0.9993744,0.06254578,-0.02926636,0.9976044,
Calibration,62845.000,0,5.343872,5.882523,0.05845642,-0.06185913,0.9963684,0.1134186,-0.03813171,0.9928131,
Calibration,62929.000,0,5.385132,5.882858,0.06326294,-0.06163025,0.9960785,0.1129761,-0.03764343,0.9928741,
Calibration,63012.000,0,5.41272,5.915955,0.06234741,-0.06265259,0.9960785,0.1136322,-0.03660583,0.9928436,
Calibration,63095.000,0,5.432327,5.923782,0.06004333,-0.06193542,0.9962616,0.1125031,-0.03491211,0.9930267,
Calibration,63179.000,0,5.619843,5.906342,0.1025543,-0.1039429,0.9892731,0.1435089,-0.08621216,0.9858704,
Calibration,63270.000,0.05099837,5.601593,5.880081,0.1054535,-0.1055298,0.9888,0.1452637,-0.08895874,0.9853821,
Calibration,63379.000,0.05099837,5.60704,5.871246,0.1066284,-0.10112,0.9891357,0.1421814,-0.08757019,0.9859467,
Calibration,63470.000,0.05099837,5.656281,5.950714,0.1048279,-0.09980774,0.9894562,0.142395,-0.08488464,0.9861603,
Calibration,63579.000,0.05099837,5.632004,5.944687,0.1087952,-0.09872437,0.9891357,0.1414032,-0.08679199,0.9861298,
Calibration,63679.000,0.05099837,5.617371,5.82605,0.1198273,-0.09918213,0.9878235,0.1391602,-0.08842468,0.9863129,
Calibration,63787.000,0.05099837,5.446655,5.665222,0.006210327,-0.08953857,0.9959564,0.02928162,-0.0790863,0.9964294,
Calibration,63887.000,0.05099837,5.311218,5.643814,-0.006362915,-0.09161377,0.9957733,0.02555847,-0.07817078,0.9965973,
Calibration,63995.000,0.05099837,5.257294,5.608231,-0.01811218,-0.09506226,0.9953003,0.02302551,-0.07614136,0.9968262,
Calibration,64112.000,0.05099837,5.237579,5.663147,-0.07530212,-0.01512146,0.9970398,-0.0431366,-0.03086853,0.9985809,
Calibration,64212.000,0.05099837,5.25824,5.580093,-0.07125854,-0.01145935,0.9973907,-0.0458374,-0.03210449,0.9984283,
Calibration,64312.000,0.05099837,5.208206,5.65387,-0.07148743,-0.01480103,0.9973297,-0.06932068,-0.02648926,0.9972382,
